City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
97,tazovskiy,67.4667,78.7,-23.8,96,5,6.02,RU,1639574144,clear sky
98,henties bay,-22.116,14.2845,65.86,72,0,16.75,NA,1639574144,clear sky
99,bitung,1.4451,125.1824,77.85,80,68,5.37,ID,1639574145,broken clouds
100,nouadhibou,20.931,-17.0347,69.78,78,20,12.66,MR,1639574145,few clouds
101,bowen,-20.0167,148.2333,79.34,68,1,11.34,AU,1639574145,clear sky
102,malanje,-9.5402,16.341,74.86,82,95,2.66,AO,1639574145,light rain
103,mar del plata,-38.0023,-57.5575,69.82,77,40,15.99,AR,1639574146,scattered clouds
104,havre-saint-pierre,50.2334,-63.5986,23.59,45,75,13.8,CA,1639574146,broken clouds
105,arraial do cabo,-22.9661,-42.0278,87.66,62,0,19.57,BR,1639574147,clear sky
106,cedar city,37.6775,-113.0619,25.77,68,90,17.27,US,1639574147,light snow
107,storebo,60.0948,5.2271,50.27,98,100,7.0,NO,1639574147,light rain
108,makaryev,57.8797,43.8069,20.8,96,100,6.24,RU,1639574147,overcast clouds
109,mocuba,-16.8392,36.9856,96.04,32,99,11.9,MZ,1639574148,overcast clouds
110,punta arenas,-53.15,-70.9167,53.71,66,75,25.32,CL,1639573904,broken clouds
111,albina,5.5,-54.05,84.6,64,100,4.85,SR,1639574148,overcast clouds
112,hambantota,6.1241,81.1185,78.6,82,100,9.78,LK,1639574149,overcast clouds
113,konstantinovka,49.6167,127.9833,-25.58,96,16,2.04,RU,1639574149,few clouds
114,kushima,31.4583,131.2333,45.12,73,85,4.27,JP,1639574149,overcast clouds
115,farim,12.4839,-15.2217,97.18,9,100,4.59,GW,1639574150,overcast clouds
116,ucluelet,48.9329,-125.5528,40.08,91,100,3.0,CA,1639574150,overcast clouds
117,yeppoon,-23.1333,150.7333,73.18,69,0,9.6,AU,1639574150,clear sky
118,saint-augustin,51.226,-58.6502,12.13,63,25,23.8,CA,1639574151,scattered clouds
119,hithadhoo,-0.6,73.0833,82.44,72,75,4.38,MV,1639574151,broken clouds
120,bluff,-46.6,168.3333,52.81,83,100,17.11,NZ,1639574151,overcast clouds
121,lakes entrance,-37.8811,147.981,60.17,88,63,10.74,AU,1639574151,broken clouds
122,rawson,-43.3002,-65.1023,71.08,42,0,10.27,AR,1639574152,clear sky
123,luderitz,-26.6481,15.1594,71.74,51,3,30.13,NA,1639574152,clear sky
124,yulara,-25.2406,130.9889,78.64,53,97,3.44,AU,1639574153,overcast clouds
125,umm kaddadah,13.6017,26.6876,87.75,17,18,15.5,SD,1639574153,few clouds
126,syamzha,60.0158,41.0614,24.46,94,100,8.32,RU,1639574153,light snow
127,erzin,36.9559,36.2,61.52,54,100,1.97,TR,1639574154,overcast clouds
128,hasaki,35.7333,140.8333,36.0,56,0,10.0,JP,1639574154,clear sky
129,chokurdakh,70.6333,147.9167,-22.43,97,100,6.53,RU,1639574154,overcast clouds
130,tamuin,21.9833,-98.75,65.79,92,70,1.83,MX,1639574155,broken clouds
